optimizer,loss,val_loss,acc,val_acc
Adam,0.3371652662754059,0.3398807942867279,0.8166666626930237,0.8166666626930237
Adam,0.33495718240737915,0.3383241593837738,0.800000011920929,0.800000011920929
Adam,0.38018229603767395,0.37684983015060425,0.8333333134651184,0.800000011920929
SGD,1.0970003604888916,1.0968459844589233,0.4833333194255829,0.4833333194255829
RMSProp,0.5716325640678406,0.36285001039505005,0.7166666388511658,0.8333333134651184
