epochs,loss,val_loss,acc,val_acc
10,0.9012664556503296,0.8565937280654907,0.6499999761581421,0.7833333611488342
20,0.312959223985672,0.2384318709373474,0.8833333253860474,0.8666666746139526
30,0.09975070506334305,0.12379612773656845,0.9666666388511658,0.9666666388511658
40,0.1201949492096901,0.12040619552135468,0.9333333373069763,0.9333333373069763
50,0.030899979174137115,0.1047096699476242,1.0,0.9666666388511658
60,0.02974466048181057,0.03289750963449478,1.0,0.9833333492279053
70,0.0348692387342453,0.023012323305010796,0.9833333492279053,1.0
80,0.0053380755707621574,0.03821812570095062,1.0,0.9833333492279053
90,0.04938119649887085,0.0029567203018814325,0.9666666388511658,1.0
100,0.03978651389479637,0.009444892406463623,0.9833333492279053,1.0
