epochs,loss,val_loss,acc,val_acc
10,1.0441539287567139,1.0379022359848022,0.4833333194255829,0.4833333194255829
10,1.0319056510925293,1.0373989343643188,0.4833333194255829,0.4833333194255829
20,1.0490962266921997,1.0374071598052979,0.4833333194255829,0.4833333194255829
30,1.1671169996261597,1.4158846139907837,0.6833333373069763,0.5666666626930237
40,0.3472033441066742,0.35186803340911865,0.7833333611488342,0.800000011920929
50,0.6793935894966125,0.39363986253738403,0.800000011920929,0.800000011920929
60,0.3891037106513977,0.4079947769641876,0.800000011920929,0.7833333611488342
70,0.3568654954433441,0.3336331248283386,0.7666666507720947,0.800000011920929
80,0.3606129288673401,0.32971999049186707,0.800000011920929,0.8166666626930237
90,0.3494226336479187,0.3374856114387512,0.7833333611488342,0.800000011920929
100,0.2777402102947235,0.2851071059703827,0.8500000238418579,0.8666666746139526
