epochs,loss,val_loss,acc,val_acc
10,0.583439290523529,1.0965135097503662,0.7099236845970154,0.37404578924179077
10,0.5973531603813171,1.0935488939285278,0.7099236845970154,0.37404578924179077
20,0.6033021807670593,1.0957008600234985,0.732824444770813,0.37404578924179077
30,0.5456423759460449,1.0911650657653809,0.694656491279602,0.37404578924179077
40,0.5047849416732788,1.088131070137024,0.7633587718009949,0.37404578924179077
50,0.46751368045806885,1.0959028005599976,0.7404580116271973,0.37404578924179077
60,0.4393288791179657,1.0914802551269531,0.7938931584358215,0.37404578924179077
70,0.6031733155250549,1.094731330871582,0.7480915784835815,0.37404578924179077
80,0.5247699022293091,1.0818910598754883,0.7404580116271973,0.37404578924179077
90,0.4931652247905731,1.102744698524475,0.7862595319747925,0.37404578924179077
100,0.43984368443489075,1.0949124097824097,0.7709923386573792,0.37404578924179077
110,0.5149607062339783,1.1058239936828613,0.7633587718009949,0.37404578924179077
120,0.47332876920700073,1.0947891473770142,0.7862595319747925,0.37404578924179077
