epochs,loss,val_loss,acc,val_acc
10,0.952877938747406,0.9328102469444275,0.5190839767456055,0.7022900581359863
20,0.6332266926765442,0.5656623840332031,0.7480915784835815,0.7480915784835815
30,0.5429019331932068,0.5485019087791443,0.7480915784835815,0.732824444770813
40,0.4635378420352936,0.4632178246974945,0.7709923386573792,0.7786259651184082
50,0.47666680812835693,0.46605363488197327,0.7633587718009949,0.7633587718009949
60,0.4493106007575989,0.4441893398761749,0.7709923386573792,0.7786259651184082
70,0.44988134503364563,0.45398736000061035,0.7709923386573792,0.7786259651184082
80,0.4609590470790863,0.4290284812450409,0.7709923386573792,0.7786259651184082
90,0.44258028268814087,0.44408756494522095,0.7633587718009949,0.7633587718009949
100,0.42116886377334595,0.43850529193878174,0.7786259651184082,0.7633587718009949
110,0.39574137330055237,0.43804025650024414,0.7938931584358215,0.7862595319747925
120,0.3846897482872009,0.3467455804347992,0.8015267252922058,0.8167939186096191
